,fips_id,year,num_events,total_injuries,total_deaths,property_damage,crop_damage
125,39030,1996,1,0,0,0,0
126,39022,1996,1,0,0,0,0
127,39020,1996,1,0,0,0,0
128,39010,1996,1,0,0,0,0
129,39008,1996,2,0,0,0,0
130,39003,1996,3,0,0,0,0
131,38099,1996,1,0,0,0,0
132,38093,1996,1,0,0,0,0
133,37175,1996,2,0,0,0,0
134,37167,1996,1,0,0,0,0
135,37163,1996,3,0,0,0,0
136,37149,1996,2,0,0,0,0
137,37093,1996,3,0,0,0,0
138,37092,1996,3,0,0,0,0
139,37087,1996,1,0,0,0,0
140,37083,1996,1,0,0,0,0
141,37082,1996,3,0,0,0,0
142,37080,1996,3,0,0,0,0
143,37079,1996,3,0,0,0,0
144,37077,1996,1,0,0,0,0
145,37071,1996,2,0,0,0,0
146,37069,1996,1,0,0,0,0
147,37067,1996,3,0,0,0,0
148,37066,1996,1,0,0,0,0
149,37065,1996,3,0,0,0,0
150,37064,1996,3,0,0,0,0
151,37062,1996,4,0,0,0,0
152,37061,1996,1,0,0,0,0
153,37059,1996,3,0,0,0,0
154,37057,1996,2,0,0,0,0
155,37055,1996,2,0,0,0,0
156,37094,1996,3,0,0,0,0
157,37052,1996,2,0,0,0,0
158,37095,1996,3,0,0,0,0
159,37098,1996,3,0,0,0,0
160,37145,1996,1,0,0,0,0
161,37141,1996,6,0,0,0,0
162,37139,1996,1,0,0,0,0
163,37135,1996,1,0,0,0,0
164,37129,1996,9,0,0,0,0
165,37127,1996,1,0,0,0,0
166,37125,1996,2,0,0,0,0
167,37121,1996,1,0,0,0,0
168,37117,1996,1,0,0,0,0
169,37115,1996,1,0,0,0,0
170,37113,1996,1,0,0,0,0
171,37111,1996,2,0,0,0,0
172,37107,1996,1,0,0,0,0
173,37105,1996,1,0,0,0,0
174,37104,1996,3,0,0,0,0
175,37103,1996,5,0,0,0,0
176,37101,1996,2,0,0,0,0
177,37100,1996,1,0,0,0,0
178,37099,1996,2,0,0,0,0
179,37097,1996,1,0,0,0,0
180,31045,1996,1,0,0,0,0
181,31039,1996,1,0,0,0,0
182,31037,1996,1,0,0,0,0
183,27013,1996,2,0,0,0,0
184,27007,1996,1,0,0,0,0
185,27005,1996,1,0,0,0,0
186,27004,1996,1,0,0,0,0
187,27003,1996,1,0,0,0,0
188,27002,1996,1,0,0,0,0
189,27001,1996,1,0,0,0,0
190,26163,1996,1,0,0,0,0
191,27029,1996,1,0,0,0,0
192,26149,1996,1,0,0,0,0
193,26117,1996,1,0,0,0,0
194,26091,1996,1,0,0,0,0
195,26082,1996,5,0,0,0,0
196,26077,1996,2,0,0,0,0
197,26076,1996,7,0,0,0,0
198,26073,1996,1,0,0,0,0
199,26070,1996,2,0,0,0,0
200,26065,1996,1,0,0,0,0
201,26133,1996,1,0,0,0,0
202,27035,1996,1,0,0,0,0
203,27103,1996,1,0,0,0,0
204,28007,1996,1,0,0,0,0
205,29031,1996,8,0,0,0,0
206,29030,1996,2,0,0,0,0
207,29029,1996,10,0,0,0,0
208,29028,1996,12,0,0,0,0
209,29027,1996,1,0,0,0,0
210,29021,1996,1,0,0,0,0
211,29020,1996,21,0,0,0,0
212,29019,1996,1,0,0,0,0
213,29014,1996,3,0,0,0,0
214,29011,1996,2,0,0,0,0
215,29010,1996,1,0,0,0,0
216,29009,1996,5,0,0,0,0
217,29007,1996,1,0,0,0,0
218,29005,1996,3,0,0,0,0
219,29002,1996,10,0,0,0,0
220,29001,1996,7,0,0,0,0
221,28121,1996,2,0,0,0,0
222,28089,1996,1,0,0,0,0
223,28049,1996,1,0,0,0,0
224,26061,1996,6,0,0,0,0
225,26060,1996,1,0,0,0,0
226,26053,1996,4,0,0,0,1000000
227,26047,1996,1,0,0,0,0
228,25006,1996,3,0,0,0,0
229,25005,1996,11,0,0,0,0
230,25002,1996,1,0,0,0,0
231,24047,1996,2,0,0,0,0
232,24045,1996,1,0,0,0,0
233,24041,1996,2,0,0,0,0
234,24035,1996,1,0,0,0,0
235,24029,1996,1,0,0,0,0
236,24024,1996,1,0,0,0,0
237,24022,1996,1,0,0,0,0
238,24020,1996,7,0,0,0,0
239,24019,1996,8,0,0,0,0
240,24015,1996,12,1,0,0,0
241,24012,1996,7,0,0,0,0
242,24011,1996,2,0,0,0,0
243,24008,1996,7,2,0,0,0
244,23030,1996,1,0,0,0,0
245,23029,1996,1,0,0,0,0
246,23018,1996,3,0,0,0,0
247,25007,1996,5,0,0,0,0
248,29032,1996,14,0,0,0,0
249,25009,1996,7,0,0,0,0
250,25012,1996,2,0,0,0,0
