STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
FLORIDA,141,59,0,1,0,36203000.0,0.0,36203000.0,59,1,7833024,79002,93582,9746324,SOUTH,SOUTH ATLANTIC,1980
GEORGIA,187,12,0,0,0,24600250.0,0.0,24600250.0,12,0,3927471,43188,104331,5463105,SOUTH,SOUTH ATLANTIC,1980
HAWAII,1,0,0,0,0,250.0,0.0,250.0,0,0,576682,5585,4437,964691,WEST,PACIFIC,1980
IDAHO,8,0,0,0,0,25000.0,0.0,25000.0,0,0,890512,6943,67256,943935,WEST,MOUNTAIN,1980
ILLINOIS,251,7,0,0,0,8077530.0,0.0,8077530.0,7,0,7781087,65086,134949,11426518,MIDWEST,EAST NORTH CENTRAL,1980
INDIANA,355,61,0,5,0,34110250.0,0.0,34110250.0,61,5,4006634,37110,91469,5490224,MIDWEST,EAST NORTH CENTRAL,1980
IOWA,288,8,0,0,0,35805000.0,0.0,35805000.0,8,0,2548931,18971,112071,2913808,MIDWEST,WEST NORTH CENTRAL,1980
KANSAS,248,5,0,0,0,4057500.0,0.0,4057500.0,5,0,2110658,17290,135348,2363679,MIDWEST,WEST NORTH CENTRAL,1980
KENTUCKY,96,14,0,2,0,7125000.0,0.0,7125000.0,14,2,2656288,25233,68239,3660777,SOUTH,EAST SOUTH CENTRAL,1980
LOUISIANA,133,11,0,2,0,2850000.0,0.0,2850000.0,11,2,2857988,24417,56058,4205900,SOUTH,WEST SOUTH CENTRAL,1980
MAINE,9,0,0,0,0,0.0,0.0,0.0,0,0,771333,7465,21902,1124660,NORTHEAST,NEW ENGLAND,1980
MARYLAND,36,14,0,0,0,525000.0,0.0,525000.0,14,0,2884760,28585,28539,4216975,SOUTH,SOUTH ATLANTIC,1980
MASSACHUSETTS,6,0,0,0,0,0.0,0.0,0.0,0,0,3849858,35390,33777,5737037,NORTHEAST,NEW ENGLAND,1980
MICHIGAN,178,97,0,5,0,52910500.0,0.0,52910500.0,97,5,6743110,62059,117236,9262078,MIDWEST,EAST NORTH CENTRAL,1980
MINNESOTA,253,16,0,1,0,36277560.0,0.0,36277560.0,16,1,3260860,28515,129972,4075970,MIDWEST,WEST NORTH CENTRAL,1980
MISSISSIPPI,99,54,0,2,0,65255000.0,0.0,65255000.0,54,2,1605233,16514,69890,2520638,SOUTH,EAST SOUTH CENTRAL,1980
MISSOURI,205,48,0,0,0,36375000.0,0.0,36375000.0,48,0,3377132,34061,118236,4916686,MIDWEST,WEST NORTH CENTRAL,1980
